Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__Cubic_Feet__d,Integrated_Modified_Energy_Factor__cubic_feet_per_kilowatt_hour_per_cycle__d,Integrated_Water_Factor__gallons_per_cycle_per_cubic_foot__d,Corrected_Remaining_Moisture_Content_____d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
Kenmore,"Top-loading, compact (less than 1.6 ft3 capacity)",WD200C*+,5197#,1.0,1.15,12.0,47.6,No,No
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V17wCy50(3B),2512*81*,3.9,1.57,6.5,40.9,No,No
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT7100C*,WT7100C*,4.5,2.06,4.3,33.1,No,No
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM3080C*,WM3080C*,4.3,2.92,3.2,28.0,No,No
Midea,"Top-loading, standard (1.6 ft3 or greater capacity)",MAM120-S2003GPS/M-13-K4,MAM120-S2003GPS,3.0,1.29,8.4,39.7,No,No
Midea,"Top-loading, standard (1.6 ft3 or greater capacity)",MAE70-502PS/01M-US13-K4,MAE70-502PSS,2.0,1.29,8.4,38.0,No,No
Panda,"Top-loading, standard (1.6 ft3 or greater capacity)",MAM70-503PS/02M-PA13,PAN70SWR,2.0,1.29,8.4,38.0,No,No
PREMIUM,"Top-loading, standard (1.6 ft3 or greater capacity)",MAE70-502PS/03M-PR13,PWMA212PM,2.0,1.29,8.4,38.0,No,No
Magic Chef,"Top-loading, standard (1.6 ft3 or greater capacity)",MAM70-502PS/01M-US13,MCSTCW21W3,2.0,1.29,8.4,38.0,No,No
Midea,"Top-loading, standard (1.6 ft3 or greater capacity)",MAE50-1102PS/01M-US13,MAE50-1102PSS,1.6,1.29,8.4,39.9,No,No
Montgomery Ward,"Top-loading, standard (1.6 ft3 or greater capacity)",MAE50-1102PS/02M-MW13,MW50-1102PS,1.6,1.29,8.4,39.9,No,No
Panda,"Top-loading, standard (1.6 ft3 or greater capacity)",MAM50-1103PS/02M-PA13,PAN50SWR,1.6,1.29,8.4,39.9,No,No
PREMIUM,"Top-loading, standard (1.6 ft3 or greater capacity)",MAE50-1102PS/03M-PR13,PWMA162PM,1.6,1.29,8.4,39.9,No,No
Magic Chef,"Top-loading, standard (1.6 ft3 or greater capacity)",MAM50-1102PS/01M-US13,MCSTCW16W3,1.6,1.29,8.4,39.9,No,No
Magic Chef,"Top-loading, compact (less than 1.6 ft3 capacity)",MAR30-P0501P/01-US13,MCSTCW09W1,0.9,0.86,14.4,44.5,No,No
RCA,"Top-loading, compact (less than 1.6 ft3 capacity)",MAR30-P0501GP/US13-K4,RPW091,0.9,0.86,14.4,44.5,No,No
Inglis,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nMS50(3B),ITW4971E**,3.6,1.57,6.5,40.4,No,No
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pBJ50(3B),MVWX655D**,4.3,1.57,6.5,46.3,No,No
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nAT50(3B),WTW4915E**,3.7,1.57,6.5,45.8,No,No
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nCW50(3B),2244*51*,3.6,1.57,6.5,45.3,No,No
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pCj50(3B),2235*51*,4.2,1.57,6.5,46.3,No,No
Crosley,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pEj50(3B),CAW42114G**,4.2,1.57,6.5,45.7,No,No
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pBs50(3B),MVWB765F**,4.7,1.57,6.5,36.6,No,No
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pBs50(3B),MVWB766F**,4.7,1.57,6.5,36.6,No,No
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nAh50(3B),WTW4616F**,3.5,1.57,6.5,45.1,No,No
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nCh50(3B),2253*51*,3.5,1.57,6.5,44.0,No,No
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nCv50(3B),2023*71*,3.5,1.57,6.5,45.3,No,No
Amana,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nDh50(3B),NTW4516F**,3.5,1.57,6.5,44.5,No,No
Roper,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nGh50(3B),RTW4516F**,3.5,1.57,6.5,44.3,No,No
Conservator,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nNu50(3B),VAW3584G**,3.5,1.57,6.5,45.4,No,No
Insignia,"Top-loading, standard (1.6 ft3 or greater capacity)",NS-TWM48WH8B,NS-TWM48WH8B,4.8,2.06,4.3,31.9,No,No
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",M38A_2_M,GUD27GSSM***,3.8,1.57,6.5,38.1,No,No
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",M23A_2_M,GUD24ESSM***,2.3,1.57,6.5,40.3,No,No
Blomberg,"Front-loading, standard (1.6 ft3 or greater capacity)",WM98200SX,WM98200SX,2.5,2.29,3.6,30.8,No,No
Blomberg,"Front-loading, standard (1.6 ft3 or greater capacity)",WM98400SX2,WM98400SX2,2.5,2.29,3.6,30.8,No,No
Beko,"Front-loading, standard (1.6 ft3 or greater capacity)",WMY10148C0,WMY10148C0,2.5,2.29,3.6,30.8,No,No
Beko,"Front-loading, standard (1.6 ft3 or greater capacity)",WMY10148W0,WMY10148W0,2.5,2.29,3.6,30.8,No,No
AVANTI,"Top-loading, standard (1.6 ft3 or greater capacity)",MAM50-1103PS/01M-US13,TLW16D0W,1.6,1.29,8.4,39.9,No,No
AVANTI,"Top-loading, standard (1.6 ft3 or greater capacity)",MAM70-503PS/01M-US13,TLW21D2P,2.0,1.29,8.4,38.0,No,No
AVANTI,"Top-loading, standard (1.6 ft3 or greater capacity)",MAM120-S2003GPS/M-13-K4,TLW30W,3.0,1.29,8.4,39.7,No,No
Speed Queen,"Front-loading, standard (1.6 ft3 or greater capacity)",R15,AFN50RSP115+,3.4,2.38,3.7,35.1,No,No
Speed Queen,"Front-loading, standard (1.6 ft3 or greater capacity)",R15,ATEE9ASP175+,3.4,2.38,3.7,35.1,No,No
GE,"Front-loading, standard (1.6 ft3 or greater capacity)",L41F_4_K,GFW400S*K***,4.1,2.38,3.4,31.5,No,No
GE,"Front-loading, standard (1.6 ft3 or greater capacity)",G49F_4_K,GFW480S*K***,4.9,2.76,2.8,27.4,No,No
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",G42A_2_JA,GTW460ASJ***,4.2,1.35,7.0,42.6,No,No
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",G42A_2_J,GTW485ASJ***,4.2,2.06,4.3,36.5,No,No
Electrolux,"Front-loading, standard (1.6 ft3 or greater capacity)",EFLS517****,EFLS517****,4.3,2.76,3.2,31.3,No,No
Electrolux,"Front-loading, standard (1.6 ft3 or greater capacity)",EFLW417****,EFLW417****,4.3,2.76,3.2,31.3,No,No
Frigidaire,"Top-loading, standard (1.6 ft3 or greater capacity)",FFLE3911***,FFLG3911***,3.8,2.06,4.3,35.1,No,No
Frigidaire,"Top-loading, standard (1.6 ft3 or greater capacity)",FFLG4033***,FFLE4033***,3.8,2.06,4.3,35.6,No,No
Frigidaire,"Top-loading, standard (1.6 ft3 or greater capacity)",FFLG4033***,FFLG4033***,3.8,2.06,4.3,35.6,No,No
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",FFLG4033***,417.6172*51*,3.8,2.06,4.3,35.6,No,No
Frigidaire,"Front-loading, standard (1.6 ft3 or greater capacity)",FFFW5100***,FFFW5100***,3.9,2.52,3.0,32.7,No,No
Frigidaire,"Top-loading, standard (1.6 ft3 or greater capacity)",FFTW1001***,FFTW1001***,3.4,1.29,8.4,42.9,No,No
Crosley,"Front-loading, standard (1.6 ft3 or greater capacity)",FFFW5100***,CFWH7300***,3.9,2.52,3.0,32.7,No,No
Frigidaire,"Top-loading, standard (1.6 ft3 or greater capacity)",FAHE1011***,FAHE1011***,3.0,1.45,6.3,49.8,No,No
PREMIUM,"Front-loading, standard (1.6 ft3 or greater capacity)",US-FC70-DS12DSH/C0401E,?PWDC202FM,2.0,1.85,4.6,34.1,No,No
Magic Chef,"Front-loading, standard (1.6 ft3 or greater capacity)",US-FC70-DS12DSH/C0401E,?MCSCWD20B3,2.0,1.85,4.6,34.1,No,No
Magic Chef,"Front-loading, standard (1.6 ft3 or greater capacity)",US-FC70-DS12DSH/C0401E,MCSCWD20W3,2.0,1.85,4.6,34.1,No,No
Dometic,"Front-loading, standard (1.6 ft3 or greater capacity)",US-FC70-DS12DSH/C0401E,WDCVLW2,2.0,1.85,4.6,34.1,No,No
Contoure,"Front-loading, standard (1.6 ft3 or greater capacity)",US-FC70-DS12DSH/C0401E,RV-WD800BK,2.0,1.85,4.6,34.1,No,No
MIDEA,"Top-loading, standard (1.6 ft3 or greater capacity)",MAD160-S2801GPS/FM-US13,MAD160S2801,4.1,1.29,8.4,37.2,No,No
RCA,"Front-loading, standard (1.6 ft3 or greater capacity)",US-FC70-DS12DSH/C0401E,RWD200-B,2.0,1.85,4.6,34.1,No,No
SAMSUNG,"Top-loading, standard (1.6 ft3 or greater capacity)",WA52J806*A*,WA52J806*A*,5.2,2.38,3.7,37.2,No,No
SAMSUNG,"Front-loading, standard (1.6 ft3 or greater capacity)",WF457A*GS**,WF457A*GS**,4.5,2.4,3.0,32.7,No,No
SAMSUNG,"Top-loading, standard (1.6 ft3 or greater capacity)",WA52M86**A*,WA52M86**A*,5.2,2.06,4.3,42.4,No,No
SAMSUNG,"Top-loading, standard (1.6 ft3 or greater capacity)",WA52M77**A*,WA52M77**A*,5.2,2.06,4.3,40.1,No,No
SAMSUNG,"Top-loading, standard (1.6 ft3 or greater capacity)",WA45M70**A*,WA45M70**A*,4.5,2.06,4.3,40.1,No,No
SAMSUNG,"Top-loading, compact (less than 1.6 ft3 capacity)",WV60M99**A*-U,WV60M99**A*-U,1.0,1.15,12.0,44.6,No,No
SAMSUNG,"Front-loading, standard (1.6 ft3 or greater capacity)",WV60M99**A*-L,WV60M99**A*-L,5.0,2.92,2.9,29.7,No,No
SAMSUNG,"Top-loading, standard (1.6 ft3 or greater capacity)",WA45K71**A*,WA45K71**A*,4.5,2.06,4.3,40.1,No,No
SAMSUNG,"Front-loading, standard (1.6 ft3 or greater capacity)",WW22K680*A*,WW22K680*A*,2.2,2.25,4.0,29.3,No,No
SAMSUNG,"Top-loading, standard (1.6 ft3 or greater capacity)",WA48J777*A*,WA48J777*A*,4.8,2.29,3.9,36.7,No,No
SAMSUNG,"Top-loading, standard (1.6 ft3 or greater capacity)",WA48J770*A*,WA48J770*A*,4.8,2.29,3.9,36.7,No,No
LG,"Top-loading, compact (less than 1.6 ft3 capacity)",WD200C*,WD100C*,1.0,0.86,14.4,57.1,No,No
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM3050C*,WM3050C*,4.0,2.67,3.3,30.9,No,No
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM3997H**,WM3997H**,4.2,2.4,3.7,30.2,No,No
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM5000H*A,WM5000H*A,4.5,2.92,2.8,30.0,No,No
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT1501C*,WT1501C*,4.5,2.38,3.7,36.0,No,No
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT1701C*+,WT1701C*,4.9,2.76,3.5,31.3,No,No
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT5270C*,WT5270C*,4.9,2.76,3.5,32.3,No,No
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT901C*,WT901C*,3.3,1.29,8.4,41.1,No,No
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM1388H*,WM1388H*,2.3,2.07,4.2,33.4,No,No
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM8100H*A,WM8100H*A,5.2,2.92,3.2,27.9,No,No
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM4270H*A,WM4370H*A,4.5,2.92,3.2,28.1,No,No
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM3270C*,WM3270C*,4.5,2.92,3.2,29.5,No,No
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT7200C*,WT7200C*,5.0,2.38,3.7,31.4,No,No
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT7200C*,WT1901C*,5.0,2.38,3.7,31.4,No,No
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT7050C*,WT7050C*,4.5,2.06,4.3,35.3,No,No
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM5000H*A,WM5005H*A,4.5,2.92,2.8,30.0,No,No
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",WT5680H*A,3146#41#,5.0,2.38,3.7,29.0,No,No
Kenmore,"Front-loading, standard (1.6 ft3 or greater capacity)",WM3370H*A,4138####,4.3,2.7,2.9,29.8,No,No
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",WT5270C*,3142#,4.9,2.76,3.5,32.3,No,No
Kenmore,"Front-loading, standard (1.6 ft3 or greater capacity)",WM8500H**,4107#,5.2,2.74,2.9,29.0,No,No
Kenmore,"Front-loading, standard (1.6 ft3 or greater capacity)",WM3370H*A,4138#,4.3,2.7,2.9,29.8,No,No
Kenmore,"Top-loading, compact (less than 1.6 ft3 capacity)",WD200C*,5199#,1.0,0.86,14.4,57.1,No,No
Kenmore,"Front-loading, standard (1.6 ft3 or greater capacity)",WM3575C*,4139#,4.5,2.92,3.2,28.8,No,No
Kenmore,"Front-loading, standard (1.6 ft3 or greater capacity)",WM4270H*A,4130#,4.5,2.92,3.2,28.1,No,No
GE,"Front-loading, standard (1.6 ft3 or greater capacity)",H24F_4_L,GFW148S*L***,2.4,2.07,4.2,32.3,No,No
GE,"Front-loading, standard (1.6 ft3 or greater capacity)",L45F_4_K,GFW450S*K***,4.5,2.66,2.8,28.8,No,No
GE,"Front-loading, standard (1.6 ft3 or greater capacity)",GFWN1100H***,GFWN1100H***,3.6,2.55,2.9,30.7,No,No
GE,"Front-loading, standard (1.6 ft3 or greater capacity)",GFWR2700H***,GFWR2700H***,4.5,2.8,3.0,28.5,No,No
GE,"Front-loading, standard (1.6 ft3 or greater capacity)",GFWR2700H***,GFWR2705H***,4.5,2.8,3.0,28.5,No,No
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",GTW180S*J***,GTW180S*J***,3.6,1.29,8.4,41.7,No,No
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",G38A_2_K,GTW220A*K***,3.8,1.3,8.2,42.7,No,No
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",G38A_2_K,GTW330A*K***,3.8,1.3,8.2,42.7,No,No
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",G44I_2_J,GTW490ACJ***,4.4,2.07,4.1,37.7,No,No
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",G46I_2_J,GTW680BSJ***,4.6,2.08,3.6,37.0,No,No
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",G46I_2_J,GTW680B*L***,4.6,2.08,3.6,37.0,No,No
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",GTW860S*J***,GTW810S*J***,5.1,2.76,3.5,28.9,No,No
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",GTW860S*J***,GTW860S*J***,5.1,2.76,3.5,28.9,No,No
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",M32A_2_J,GUD27GSSJ***,3.2,1.31,7.0,50.2,No,No
Hotpoint,"Top-loading, standard (1.6 ft3 or greater capacity)",G38A_2_KA,HTW200A*K***,3.8,1.3,8.2,43.3,No,No
Hotpoint,"Top-loading, standard (1.6 ft3 or greater capacity)",G38A_2_K,HTW240A*K***,3.8,1.3,8.2,42.7,No,No
Hotpoint,"Top-loading, standard (1.6 ft3 or greater capacity)",GTW180S*J***,HTWP1400F***,3.6,1.29,8.4,41.7,No,No
GE,"Front-loading, standard (1.6 ft3 or greater capacity)",S22F_4_K,WCVH4800K***,2.2,2.1,4.1,29.4,No,No
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",T26I_2_H,WSLP1500H***,2.6,1.29,8.3,45.0,No,No
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",T26I_2_H,WSLS1500H***,2.6,1.29,8.3,45.0,No,No
Haier,"Top-loading, standard (1.6 ft3 or greater capacity)",HLPW028AXW,HLPW028BXW,2.1,1.3,8.4,42.0,No,No
Haier,"Front-loading, standard (1.6 ft3 or greater capacity)",HLC1700AXW,HLC1700AX*,2.0,1.86,3.4,35.2,No,No
Haier,"Top-loading, compact (less than 1.6 ft3 capacity)",HLP21N,HLP21N,1.0,0.89,12.0,57.2,No,No
Unimac,"Front-loading, standard (1.6 ft3 or greater capacity)",R10,UTGE5ASP113+,3.4,2.38,3.7,34.4,No,No
Unimac,"Front-loading, standard (1.6 ft3 or greater capacity)",R10,UTEE5ASP173+,3.4,2.38,3.7,34.4,No,No
Speed Queen,"Top-loading, standard (1.6 ft3 or greater capacity)",R8,LWNE52SP113+,3.2,1.29,8.4,46.6,No,No
Speed Queen,"Front-loading, standard (1.6 ft3 or greater capacity)",R10,LTGE5ASP113+,3.4,2.38,3.7,34.4,No,No
Speed Queen,"Front-loading, standard (1.6 ft3 or greater capacity)",R10,LTEE5ASP153+,3.4,2.38,3.7,34.4,No,No
Speed Queen,"Front-loading, standard (1.6 ft3 or greater capacity)",R10,AFN50RSP113+,3.4,2.38,3.7,34.4,No,No
Speed Queen,"Top-loading, standard (1.6 ft3 or greater capacity)",R8,AWNE82SP113+,3.2,1.29,8.4,46.6,No,No
Speed Queen,"Front-loading, standard (1.6 ft3 or greater capacity)",R10,LTEE5ASP173+,3.4,2.38,3.7,34.4,No,No
Speed Queen,"Front-loading, standard (1.6 ft3 or greater capacity)",R10,LFNE5RSP113+,3.4,2.38,3.7,34.4,No,No
Speed Queen,"Front-loading, standard (1.6 ft3 or greater capacity)",R10,LFNE5BJP113+,3.4,2.38,3.7,34.4,No,No
IPSO,"Front-loading, standard (1.6 ft3 or greater capacity)",R10,BFNE6BJP113+,3.4,2.38,3.7,34.4,No,No
Huebsch,"Top-loading, standard (1.6 ft3 or greater capacity)",R8,YWNE52PP113+,3.2,1.29,8.4,46.6,No,No
Huebsch,"Front-loading, standard (1.6 ft3 or greater capacity)",R10,YFNE5RSP113+,3.4,2.38,3.7,34.4,No,No
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAK58(3B),WTW8040D*+,5.3,2.06,4.3,35.8,No,No
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V15UAK50(3B),WTW8700E**,5.3,2.06,4.3,36.4,No,No
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H15PAb50(3B),WFL98HEB**,4.3,2.38,3.7,29.6,No,No
Crosley,"Top-loading, standard (1.6 ft3 or greater capacity)",V14MER52(3B),CAW8350E*+,3.5,1.29,8.4,45.2,No,No
Crosley,"Top-loading, standard (1.6 ft3 or greater capacity)",V14MER52(3B),CAW9352E*+,3.5,1.29,8.4,45.2,No,No
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H15NAZ46(3B),WFW75HEF**,4.5,2.92,3.2,29.3,No,No
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H16bAk31(3B),WFW3090G**,2.0,2.38,3.7,28.9,No,No
Inglis,"Top-loading, standard (1.6 ft3 or greater capacity)",V15MMR52(3B),ITW4671E**,3.5,1.29,8.4,47.8,No,No
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H15TBc31(3B),MHWC7500Y*+,2.0,1.84,4.7,36.7,No,No
Inglis,"Top-loading, standard (1.6 ft3 or greater capacity)",V15MMS52(3B),ITW4971E**,3.6,1.29,8.4,40.4,No,No
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17uB651(3B),MVWP575G**,3.5,1.57,6.5,46.6,No,No
Conservator,"Top-loading, standard (1.6 ft3 or greater capacity)",V16ZNu50(3B),VAW3584G**,3.5,1.29,8.4,47.8,No,No
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17tAM51(3B),WTW7500G**,4.8,2.06,4.3,32.6,No,No
