Brand_Name_s__s,Product_Class_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Total_Adjusted_Volume__Cubic_Feet__d,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Refrigerated_Volume__ft3__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
IGLOO,(4I.)Refrigerator-freezersautomatic defrost with side-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-90-E,FR834IB,3.88,322.0,3.2,No,No
IGLOO,(4I.)Refrigerator-freezersautomatic defrost with side-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-90-E,FR834I-F,3.88,322.0,3.2,No,No
IGLOO,(4I.)Refrigerator-freezersautomatic defrost with side-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-90-E,FR834I-E,3.88,322.0,3.2,No,No
IGLOO,(4I.)Refrigerator-freezersautomatic defrost with side-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-90-E,FR834I-C,3.88,322.0,3.2,No,No
IGLOO,(4I.)Refrigerator-freezersautomatic defrost with side-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-90-E,FR834C,3.88,322.0,3.2,No,No
IGLOO,(4I.)Refrigerator-freezersautomatic defrost with side-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-90-E,FR832I-E,3.88,322.0,3.2,No,No
IGLOO,(4I.)Refrigerator-freezersautomatic defrost with side-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-90-E,FR832I-B,3.88,322.0,3.2,No,No
IGLOO,(4I.)Refrigerator-freezersautomatic defrost with side-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-90-E,FR832I,3.88,322.0,3.2,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-90U-E,FR326-C,3.2,219.0,3.2,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-90U-E,FR376,3.2,219.0,3.2,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-90U-E,FR329,3.2,219.0,3.2,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-90U-E,FR328D,3.2,219.0,3.2,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-90U-E,FR328C,3.2,219.0,3.2,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-90U-E,FR328B,3.2,219.0,3.2,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-90U-E,FR322I-B,3.2,219.0,3.2,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-90U-E,FR322I,3.2,219.0,3.2,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-90U-E,FR322,3.2,219.0,3.2,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-90U-E,FR321-C,3.2,219.0,3.2,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-90U-E,FR321I-P-C,3.2,219.0,3.2,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-90U-E,FR321I-P,3.2,219.0,3.2,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-90U-E,FR321I,3.2,219.0,3.2,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-90U-E,FR321,3.2,219.0,3.2,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-90U-E,FR320I-B,3.2,219.0,3.2,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-90U-E,FR320I,3.2,219.0,3.2,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-90U-E,FR320,3.2,219.0,3.2,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-70-E,FR283I-B,2.6,215.0,2.6,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-70-E,FR283I,2.6,215.0,2.6,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-46-E,FR115I-SILVER,1.6,208.0,1.6,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-46-E,FR100I-BLACK,1.6,208.0,1.6,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-46-E,FR176-CORAL,1.6,208.0,1.6,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-46-E,FR176-BLUE,1.6,208.0,1.6,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-46-E,FR176-RED,1.6,208.0,1.6,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-46-E,FR176-BLACK,1.6,208.0,1.6,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-46-E,FR100I-B,1.6,208.0,1.6,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-46-E,FR100I,1.6,208.0,1.6,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-46-E,FR100-B,1.6,208.0,1.6,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-46-E,FR100,1.6,208.0,1.6,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-46-E,FR115I-B,1.6,208.0,1.6,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-46-E,FR115I,1.6,208.0,1.6,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-46-E,FR115,1.6,208.0,1.6,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-46-E,FR180I-B,1.6,208.0,1.6,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-46-E,FR180I,1.6,208.0,1.6,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-46-E,FR115-RED,1.6,208.0,1.6,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-46-E,FR115I-WHITE,1.6,208.0,1.6,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-46-E,FR115I-RED,1.6,208.0,1.6,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-46-E,FR115I-PURPLE,1.6,208.0,1.6,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-46-E,FR115I-ORANGE,1.6,208.0,1.6,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-46-E,FR115I-GREEN,1.6,208.0,1.6,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-46-E,FR115I-BLUE,1.6,208.0,1.6,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-46-E,FR115I-BLACK,1.6,208.0,1.6,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-46-E,FR115-BLUE,1.6,208.0,1.6,No,No
Norpole,(12.) Compact refrigerator-freezerspartial automatic defrost,NPDR340STE,NPDR340STE,4.1,260.0,3.4,No,No
Frigidaire,(10.) Chest freezers and all other freezers except compact freezers,FFFC10M1TW,FFFC10M1TW,18.0,238.0,10.2,No,No
Alcove,(11A.) Compact all-refrigeratorsmanual defrost,4NA7Z20000010,4NA7Z20000010,1.6,207.0,1.6,No,No
Midea,(12.) Compact refrigerator-freezerspartial automatic defrost,WHD-125FBS1,WHD-125FBS1,4.1,260.0,3.4,No,No
Arctic King,(10.) Chest freezers and all other freezers except compact freezers,ACFM102ADOT,ACFM102ADOT,18.0,214.0,10.2,No,No
Arctic King,(18.) Compact chest freezers,ACFM070ADOT,ACFM070ADOT,12.3,250.0,7.0,No,No
Arctic King,(18.) Compact chest freezers,ACFM050ADOT,ACFM050ADOT,8.8,218.0,5.0,No,No
Arctic King,(18.) Compact chest freezers,ACFM035ADOT,ACFM035ADOT,6.2,193.0,3.5,No,No
Arctic King,(16.) Compact upright freezers with manual defrost,AUFM011AEOT,AUFM011AEOT,1.9,215.0,1.1,No,No
Arctic King,(10.) Chest freezers and all other freezers except compact freezers,ACFM102ADW,ACFM102ADW,18.0,214.0,10.2,No,No
Arctic King,(18.) Compact chest freezers,WHS-258C1WSB,WHS-258C1WSB,12.3,250.0,7.0,No,No
Arctic King,(18.) Compact chest freezers,ACFM035BDW,ACFM035BDW,6.2,193.0,3.5,No,No
Arctic King,(16.) Compact upright freezers with manual defrost,AUFM011AEW,AUFM011AEW,1.9,215.0,1.1,No,No
Thorkitchen,(5I.) Refrigerator-freezersautomatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,HRF3601F ?,HRF3601F ?,25.2,623.0,20.7,No,No
IGLOO,(18.) Compact chest freezers,BD-150,FRF452-D,8.8,215.0,5.0,No,No
IGLOO,(18.) Compact chest freezers,BD-100,FRF434I-D,6.16,189.0,3.5,No,No
IGLOO,(18.) Compact chest freezers,BD-200,FRF470-C-BLACK,12.32,248.0,7.0,No,No
IGLOO,(18.) Compact chest freezers,BD-200,FRF470-C,12.32,248.0,7.0,No,No
KITCHENAID,(5I-BI.) Built-In Refrigerator-freezersautomatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ibic10,KBFN506EBS**,25.0,656.0,20.8,No,No
KITCHENAID,(4I-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer with an automatic icemaker without through-the-door ice service,4w4ibit50,KBSN602EBS**,32.4,772.0,25.5,No,No
KITCHENAID,(4I-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer with an automatic icemaker without through-the-door ice service,4w4ibim00,KBSN608EBS**,38.2,832.0,30.0,No,No
Criterion,(3.) Refrigerator-freezersautomatic defrost with top-mounted freezer without an automatic icemaker,CTMR180M1S,CTMR180M1S,21.12,362.0,18.0,No,No
Criterion,(3.) Refrigerator-freezersautomatic defrost with top-mounted freezer without an automatic icemaker,CTMR180M1B,CTMR180M1B,21.12,362.0,18.0,No,No
Criterion,(3.) Refrigerator-freezersautomatic defrost with top-mounted freezer without an automatic icemaker,CTMR180M1W,CTMR180M1W,21.12,362.0,18.0,No,No
Criterion,(3.) Refrigerator-freezersautomatic defrost with top-mounted freezer without an automatic icemaker,CTMR99M1S,CTMR99M1S,11.9,296.0,9.9,No,No
Criterion,(3.) Refrigerator-freezersautomatic defrost with top-mounted freezer without an automatic icemaker,CTMR99M1B,CTMR99M1B,11.9,296.0,9.9,No,No
Criterion,(3.) Refrigerator-freezersautomatic defrost with top-mounted freezer without an automatic icemaker,CTMR99M1W,CTMR99M1W,11.9,296.0,9.9,No,No
Frigidaire,(9.) Upright freezers with automatic defrost without an automatic icemaker,DU17FE1,LFFH17F3QWC,29.3,431.0,16.6,No,No
Crosley,(9.) Upright freezers with automatic defrost without an automatic icemaker,DU17FE1,CFUFH17QWB,29.3,431.0,16.6,No,No
INSIGNIA,(3.) Refrigerator-freezersautomatic defrost with top-mounted freezer without an automatic icemaker,NS-RTM18BKR8,NS-RTM18BKR8,21.0,362.0,14.0,No,No
Emerald Chef,(12.) Compact refrigerator-freezerspartial automatic defrost,RF-801,RF-801,8.3,322.0,7.2,No,No
Emerald Chef,(12.) Compact refrigerator-freezerspartial automatic defrost,RF-801B,RF-801B,8.3,322.0,7.2,No,No
Epic,(3.) Refrigerator-freezersautomatic defrost with top-mounted freezer without an automatic icemaker,EFF120W,EFF120W,13.7,344.0,11.5,No,No
MARATHON,(3.) Refrigerator-freezersautomatic defrost with top-mounted freezer without an automatic icemaker,MFF120W,MFF120W,13.7,344.0,11.5,No,No
Danby,(12.) Compact refrigerator-freezerspartial automatic defrost,DCR032C3*,DCR032C3BDB,3.89,320.0,3.2,No,No
Avanti,(12.) Compact refrigerator-freezerspartial automatic defrost,DF2-28,RA7326BT,8.25,345.0,7.4,No,No
Thorkitchen,(5I.) Refrigerator-freezersautomatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,HRF3601F,HRF3601F,25.2,623.0,20.7,No,No
GE,(10.) Chest freezers and all other freezers except compact freezers,4w10j50-05,FCM15DH****,26.0,297.0,14.8,No,No
DANBY,(10.) Chest freezers and all other freezers except compact freezers,4w10j50-05,DCFM148A1WDD*,26.0,297.0,14.8,No,No
KENMORE,(4.) Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,4w4z51-04,4115*21*,32.2,572.0,24.9,No,No
KENMORE,(4I.)Refrigerator-freezersautomatic defrost with side-mounted freezer with an automatic icemaker without through-the-door ice service,4w4iz51-04,4115*21*,32.2,656.0,24.9,No,No
KENMORE,(7.) Refrigerator-freezersautomatic defrost with side-mounted freezer with through-the-door ice service,5w7m50-02,5176****,31.6,610.0,24.8,No,No
WHIRLPOOL,(7.) Refrigerator-freezersautomatic defrost with side-mounted freezer with through-the-door ice service,5w7m50-02,WRS975SID***,31.6,610.0,24.8,No,No
BLACK DECKER,(18.) Compact chest freezers,BD-200,BCFK71W,12.1,231.0,6.9,No,No
BLACK DECKER,(18.) Compact chest freezers,BD-155,BCFK55W,9.3,205.0,5.3,No,No
BLACK DECKER,(18.) Compact chest freezers,BD-100,BCFK35W,6.3,183.0,3.6,No,No
BLACK DECKER,(11A.) Compact all-refrigeratorsmanual defrost,KS-123R,BCRK43W4,4.3,217.0,4.3,No,No
BLACK DECKER,(11A.) Compact all-refrigeratorsmanual defrost,KS-123R,BCRK43V4,4.3,217.0,4.3,No,No
BLACK DECKER,(11A.) Compact all-refrigeratorsmanual defrost,KS-123R,BCRK43B4,4.3,217.0,4.3,No,No
BLACK DECKER,(11A.) Compact all-refrigeratorsmanual defrost,KS-91R,BCRK32W4,3.2,214.0,3.2,No,No
BLACK DECKER,(11A.) Compact all-refrigeratorsmanual defrost,KS-91R,BCRK32V4,3.2,214.0,3.2,No,No
BLACK DECKER,(11A.) Compact all-refrigeratorsmanual defrost,KS-91R,BCRK32B4,3.2,214.0,3.2,No,No
BLACK DECKER,(11A.) Compact all-refrigeratorsmanual defrost,KS-71R,BCRK25W4,2.5,211.0,2.5,No,No
BLACK DECKER,(11A.) Compact all-refrigeratorsmanual defrost,KS-71R,BCRK25V4,2.5,211.0,2.5,No,No
BLACK DECKER,(11A.) Compact all-refrigeratorsmanual defrost,KS-71R,BCRK25B4,2.5,211.0,2.5,No,No
BLACK DECKER,(11A.) Compact all-refrigeratorsmanual defrost,KS-48R,BCRK17W4,1.7,197.0,1.7,No,No
BLACK DECKER,(11A.) Compact all-refrigeratorsmanual defrost,KS-48R,BCRK17V4,1.7,197.0,1.7,No,No
BLACK DECKER,(11A.) Compact all-refrigeratorsmanual defrost,KS-48R,BCRK17B4,1.7,197.0,1.7,No,No
BLACK DECKER,(16.) Compact upright freezers with manual defrost,KS-35F,BUFK12W,2.1,157.0,1.2,No,No
WHIRLPOOL,(5A.) Refrigerator-freezerautomatic defrost with bottom-mounted freezer with through-the-door ice service,7w5ab40,WRX735SDH*,29.6,683.0,24.5,No,No
Danby One Plug,(12.) Compact refrigerator-freezerspartial automatic defrost,3.1SM6*,3.1SM6R,3.73,199.0,3.1,No,No
Haier,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,HC33SW20RV,HC33SW20RB,3.28,243.0,3.3,No,No
Candor,(13A.) Compact all-refrigeratorsautomatic defrost,BC-60,BC-60,2.0,247.0,2.0,No,No
Microfridge with Safe Plug and First Defense Smoke Sensor,(12.) Compact refrigerator-freezerspartial automatic defrost,3.1MF7RS,3.1MF7RS,3.73,199.0,3.1,No,No
Microfridge with Safe Plug and First Defense Smoke Sensor,(12.) Compact refrigerator-freezerspartial automatic defrost,3.1MF7R,3.1MF7R,3.73,199.0,3.1,No,No
KENMORE,(5I.) Refrigerator-freezersautomatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij91-04,7931*,23.0,553.0,18.7,No,No
MAYTAG,(5I.) Refrigerator-freezersautomatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij91-04,MBF1958FE*,23.0,553.0,18.7,No,No
KENMORE,(5I.) Refrigerator-freezersautomatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz20-02,7942*,27.0,585.0,22.1,No,No
MAYTAG,(5I.) Refrigerator-freezersautomatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz20-02,MFF2258DE*,27.0,585.0,22.1,No,No
WHIRLPOOL,(5I.) Refrigerator-freezersautomatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz20-02,WRF532SMB*,27.0,585.0,22.1,No,No
MAYTAG,(5I.) Refrigerator-freezersautomatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz20-02,MFF2258FE*,27.0,585.0,22.1,No,No
Insignia,(18.) Compact chest freezers,NS-CZ10WH6-C,NS-CZ10WH6-C,18.0,238.0,10.2,No,No
Insignia,(18.) Compact chest freezers,NS-CZ10WH6,NS-CZ10WH6,18.0,238.0,10.2,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UUSR1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UUSL1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UITR1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UITL1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UDAGR1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UDAGL1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UDSPL1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UDSPR1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28USVL1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28USVR1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UYWL1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UYWR1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28ULIL1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28ULIR1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UPGL1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UPGR1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UBEL1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UBER1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UWHL1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UWHR1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UPBL1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UPBR1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UPKL1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UPKR1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28URDL1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28URDR1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UUJL1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UUJR1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UORL1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UORR1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UCRL1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UCRR1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UBLL1,9.8,290.0,9.46,No,No
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U_1,FAB28UBLR1,9.8,290.0,9.46,No,No
Arctic Fresh,(11A.) Compact all-refrigeratorsmanual defrost,DL1-07,AFH16ARFW,1.6,230.0,1.6,No,No
INSIGNIA,(3.) Refrigerator-freezersautomatic defrost with top-mounted freezer without an automatic icemaker,NS-RTM18WH8Q,NS-RTM18WH8Q,21.0,398.0,14.0,No,No
INSIGNIA,(3.) Refrigerator-freezersautomatic defrost with top-mounted freezer without an automatic icemaker,NS-RTM18BK8Q,NS-RTM18BK8Q,21.0,398.0,14.0,No,No
INSIGNIA,(3.) Refrigerator-freezersautomatic defrost with top-mounted freezer without an automatic icemaker,NS-RTM10BK8,NS-RTM10BK8,11.9,296.0,7.2,No,No
INSIGNIA,(5.) Refrigerator-freezersautomatic defrost with bottom-mounted freezer without an automatic icemaker,NS-RBM10BK8,NS-RBM10BK8,12.6,370.0,7.1,No,No
BOSCH,(5A.) Refrigerator-freezerautomatic defrost with bottom-mounted freezer with through-the-door ice service,B26FT81SNS,B26FT81SNS,30.75,691.0,24.82,No,No
BOSCH,(5A.) Refrigerator-freezerautomatic defrost with bottom-mounted freezer with through-the-door ice service,B26FT50SNS,B26FT50SNS,30.89,693.0,24.95,No,No
IGLOO,(4-BI.) Built-In Refrigerator-freezersautomatic defrost with side-mounted freezer without an automatic icemaker,BC-90U-E,FR326M-BLACK,3.2,219.0,3.2,No,No
AVANTI,(3.) Refrigerator-freezersautomatic defrost with top-mounted freezer without an automatic icemaker,FF21D3S,FF21D3S,25.6,396.0,21.0,No,No
AVANTI,(3.) Refrigerator-freezersautomatic defrost with top-mounted freezer without an automatic icemaker,FF21D1B,FF21D1B,25.6,396.0,21.0,No,No
AVANTI,(3.) Refrigerator-freezersautomatic defrost with top-mounted freezer without an automatic icemaker,FF21D0W,FF21D0W,25.6,396.0,21.0,No,No
Agostino,(9.) Upright freezers with automatic defrost without an automatic icemaker,AUF-2110S,AUF-2110S,36.96,492.0,21.0,No,No
Agostino,(9.) Upright freezers with automatic defrost without an automatic icemaker,AUF-2110W,AUF-2110W,36.96,492.0,21.0,No,No
Agostino,(9.) Upright freezers with automatic defrost without an automatic icemaker,AUF-1710S,AUF-1710S,29.92,438.0,17.0,No,No
Agostino,(9.) Upright freezers with automatic defrost without an automatic icemaker,AUF-1710W,AUF-1710W,29.92,438.0,17.0,No,No
Midea,(9.) Upright freezers with automatic defrost without an automatic icemaker,WHS-625FWEW1,WHS-625FWEW1,29.92,438.0,17.0,No,No
Midea,(9.) Upright freezers with automatic defrost without an automatic icemaker,WHS-625FWEB1,WHS-625FWEB1,29.92,438.0,17.0,No,No
Midea,(9.) Upright freezers with automatic defrost without an automatic icemaker,WHS-625FWESS1,WHS-625FWESS1,29.92,438.0,17.0,No,No
Midea,(9.) Upright freezers with automatic defrost without an automatic icemaker,WHS-772FWEW1,WHS-772FWEW1,36.96,492.0,21.0,No,No
Midea,(9.) Upright freezers with automatic defrost without an automatic icemaker,WHS-772FWEB1,WHS-772FWEB1,36.96,492.0,21.0,No,No
Midea,(9.) Upright freezers with automatic defrost without an automatic icemaker,WHS-772FWESS1,WHS-772FWESS1,36.96,492.0,21.0,No,No
Arctic King,(16.) Compact upright freezers with manual defrost,HS-52FN(SNZ),AUFM011AEW,1.9,133.0,1.1,No,No
Arctic King,(18.) Compact chest freezers,HS-258CN(NZ),WHS-258C1WSB,12.4,224.0,7.0,No,No
MARVEL,(13A.) Compact all-refrigeratorsautomatic defrost,NL24RAS0***1,NL24RAS0***,5.3,224.0,5.3,No,No
MARVEL,(13A.) Compact all-refrigeratorsautomatic defrost,NL24BCG0***1,NL24BCG0***,5.5,298.0,5.5,No,No
